label,class_name,species,genus,family,order
0,rice leaf roller,Cnaphalocrocis medinalis,Cnaphalocrocis,Crambidae,Lepidoptera
1,rice leaf caterpillar,Mythimna separata,Mythimna,Noctuidae,Lepidoptera
2,paddy stem maggot,Chlorops oryzae,Chlorops,Chloropidae,Diptera
3,asiatic rice borer,Chilo suppressalis,Chilo,Crambidae,Lepidoptera
4,yellow rice borer,Scirpophaga incertulas,Scirpophaga,Crambidae,Lepidoptera
5,rice gall midge,Orseolia oryzae,Orseolia,Cecidomyiidae,Diptera
6,Rice Stemfly,Hydrellia philippina,Hydrellia,Ephydridae,Diptera
7,brown plant hopper,Nilaparvata lugens,Nilaparvata,Delphacidae,Hemiptera
8,white backed plant hopper,Sogatella furcifera,Sogatella,Delphacidae,Hemiptera
9,small brown plant hopper,Laodelphax striatellus,Laodelphax,Delphacidae,Hemiptera
10,rice water weevil,Lissorhoptrus oryzophilus,Lissorhoptrus,Curculionidae,Coleoptera
11,rice leafhopper,Nephotettix cincticeps,Nephotettix,Cicadellidae,Hemiptera
12,grain spreader thrips,Haplothrips aculeatus,Haplothrips,Phlaeothripidae,Thysanoptera
13,rice shell pest,Parnara guttata,Parnara,Hesperiidae,Lepidoptera
14,grub,,,Scarabaeidae,Coleoptera
15,mole cricket,Gryllotalpa,Gryllotalpa,Gryllotalpidae,Orthoptera
16,wireworm,,,Elateridae,Coleoptera
17,white margined moth,,,Noctuidae,Lepidoptera
18,black cutworm,Agrotis ipsilon,Agrotis,Noctuidae,Lepidoptera
19,large cutworm,,,Noctuidae,Lepidoptera
20,yellow cutworm,,,Noctuidae,Lepidoptera
21,red spider,Tetranychus urticae,Tetranychus,Tetranychidae,Acari
22,corn borer,Ostrinia furnacalis,Ostrinia,Crambidae,Lepidoptera
23,army worm,Mythimna separata,Mythimna,Noctuidae,Lepidoptera
24,aphids,,,Aphididae,Hemiptera
25,Potosiabre vitarsis,Protaetia brevitarsis,Protaetia,Scarabaeidae,Coleoptera
26,peach borer,Synanthedon exitiosa,Synanthedon,Sesiidae,Lepidoptera
27,english grain aphid,Sitobion avenae,Sitobion,Aphididae,Hemiptera
28,green bug,Schizaphis graminum,Schizaphis,Aphididae,Hemiptera
29,bird cherry-oataphid,Rhopalosiphum padi,Rhopalosiphum,Aphididae,Hemiptera
30,wheat blossom midge,Sitodiplosis mosellana,Sitodiplosis,Cecidomyiidae,Diptera
31,penthaleus major,Penthaleus major,Penthaleus,Penthaleidae,Acari
32,longlegged spider mite,Tetranychus spp.,Tetranychus,Tetranychidae,Acari
33,wheat phloeothrips,Haplothrips tritici,Haplothrips,Phlaeothripidae,Thysanoptera
34,wheat sawfly,Cephus cinctus,Cephus,Cephidae,Hymenoptera
35,cerodonta denticornis,Cerodonta denticornis,Cerodonta,Agromyzidae,Diptera
36,beet fly,Pegomya betae,Pegomya,Anthomyiidae,Diptera
37,flea beetle,Phyllotreta,Phyllotreta,Chrysomelidae,Coleoptera
38,cabbage army worm,Mamestra brassicae,Mamestra,Noctuidae,Lepidoptera
39,beet army worm,Spodoptera exigua,Spodoptera,Noctuidae,Lepidoptera
40,Beet spot flies,,,Anthomyiidae,Diptera
41,meadow moth,Loxostege sticticalis,Loxostege,Crambidae,Lepidoptera
42,beet weevil,Bothynoderes punctiventris,Bothynoderes,Curculionidae,Coleoptera
43,sericaorient alismots chulsky,Serica orientalis,Serica,Scarabaeidae,Coleoptera
44,alfalfa weevil,Hypera postica,Hypera,Curculionidae,Coleoptera
