image,label,split
00002.jpg,0,train
00003.jpg,0,train
00005.jpg,0,train
00006.jpg,0,train
00008.jpg,0,train
00011.jpg,0,train
00015.jpg,0,train
00017.jpg,0,train
00018.jpg,0,train
00019.jpg,0,train
00020.jpg,0,train
00021.jpg,0,train
00022.jpg,0,train
00024.jpg,0,train
00025.jpg,0,train
00027.jpg,0,train
00028.jpg,0,train
00029.jpg,0,train
00030.jpg,0,train
00031.jpg,0,train
00032.jpg,0,train
00033.jpg,0,train
00037.jpg,0,train
00038.jpg,0,train
00040.jpg,0,train
00041.jpg,0,train
00042.jpg,0,train
00043.jpg,0,train
00045.jpg,0,train
00047.jpg,0,train
00048.jpg,0,train
00050.jpg,0,train
00052.jpg,0,train
00053.jpg,0,train
00055.jpg,0,train
00056.jpg,0,train
00057.jpg,0,train
00060.jpg,0,train
00062.jpg,0,train
00064.jpg,0,train
00065.jpg,0,train
00068.jpg,0,train
00069.jpg,0,train
00072.jpg,0,train
00073.jpg,0,train
00074.jpg,0,train
00076.jpg,0,train
00077.jpg,0,train
00078.jpg,0,train
00080.jpg,0,train
00081.jpg,0,train
00083.jpg,0,train
00084.jpg,0,train
00085.jpg,0,train
00086.jpg,0,train
00087.jpg,0,train
00088.jpg,0,train
00089.jpg,0,train
00091.jpg,0,train
00092.jpg,0,train
00093.jpg,0,train
00095.jpg,0,train
00096.jpg,0,train
00098.jpg,0,train
00099.jpg,0,train
00101.jpg,0,train
00102.jpg,0,train
00104.jpg,0,train
00106.jpg,0,train
00109.jpg,0,train
00110.jpg,0,train
00113.jpg,0,train
00115.jpg,0,train
00116.jpg,0,train
00126.jpg,0,train
00128.jpg,0,train
00129.jpg,0,train
00130.jpg,0,train
00131.jpg,0,train
00133.jpg,0,train
00138.jpg,0,train
00141.jpg,0,train
00145.jpg,0,train
00146.jpg,0,train
00147.jpg,0,train
00148.jpg,0,train
00149.jpg,0,train
00151.jpg,0,train
00155.jpg,0,train
00156.jpg,0,train
00157.jpg,0,train
00159.jpg,0,train
00160.jpg,0,train
00161.jpg,0,train
00163.jpg,0,train
00164.jpg,0,train
00165.jpg,0,train
00166.jpg,0,train
00168.jpg,0,train
00169.jpg,0,train
00171.jpg,0,train
00172.jpg,0,train
00173.jpg,0,train
00174.jpg,0,train
00175.jpg,0,train
00180.jpg,0,train
00182.jpg,0,train
00183.jpg,0,train
00184.jpg,0,train
00185.jpg,0,train
00186.jpg,0,train
00187.jpg,0,train
00188.jpg,0,train
00189.jpg,0,train
00190.jpg,0,train
00191.jpg,0,train
00193.jpg,0,train
00194.jpg,0,train
00195.jpg,0,train
00196.jpg,0,train
00197.jpg,0,train
00201.jpg,0,train
00202.jpg,0,train
00203.jpg,0,train
00206.jpg,0,train
00208.jpg,0,train
00210.jpg,0,train
00212.jpg,0,train
00213.jpg,0,train
00214.jpg,0,train
00215.jpg,0,train
00216.jpg,0,train
00219.jpg,0,train
00220.jpg,0,train
00221.jpg,0,train
00222.jpg,0,train
00224.jpg,0,train
00227.jpg,0,train
00228.jpg,0,train
00229.jpg,0,train
00230.jpg,0,train
00231.jpg,0,train
00233.jpg,0,train
00234.jpg,0,train
00235.jpg,0,train
00239.jpg,0,train
00241.jpg,0,train
00242.jpg,0,train
00243.jpg,0,train
00244.jpg,0,train
00245.jpg,0,train
00246.jpg,0,train
00248.jpg,0,train
00249.jpg,0,train
00250.jpg,0,train
00252.jpg,0,train
00253.jpg,0,train
00254.jpg,0,train
00257.jpg,0,train
00258.jpg,0,train
00260.jpg,0,train
00262.jpg,0,train
00263.jpg,0,train
00267.jpg,0,train
00268.jpg,0,train
00269.jpg,0,train
00270.jpg,0,train
00271.jpg,0,train
00273.jpg,0,train
00275.jpg,0,train
00276.jpg,0,train
00278.jpg,0,train
00280.jpg,0,train
00281.jpg,0,train
00284.jpg,0,train
00285.jpg,0,train
00286.jpg,0,train
00289.jpg,0,train
00290.jpg,0,train
00291.jpg,0,train
00293.jpg,0,train
00294.jpg,0,train
00295.jpg,0,train
00297.jpg,0,train
00298.jpg,0,train
00299.jpg,0,train
00301.jpg,0,train
00302.jpg,0,train
00303.jpg,0,train
00304.jpg,0,train
00305.jpg,0,train
00306.jpg,0,train
00308.jpg,0,train
00313.jpg,0,train
00314.jpg,0,train
00315.jpg,0,train
